time,timestep,iteration,converged,density_error
0.118396,0.000781815,2,1,0.00074453
0.118868,0.000783379,2,1,0.000730576
0.11934,0.000784946,2,1,0.000709009
0.119811,0.000786516,2,1,0.000667523
0.120283,0.000788089,2,1,0.000648203
0.120755,0.000789665,2,1,0.000654005
0.121226,0.000791244,2,1,0.000647187
0.121698,0.000792827,2,1,0.00064198
0.12217,0.000794412,2,1,0.000620415
0.122642,0.000796001,2,1,0.000613212
0.123113,0.000797593,2,1,0.000602203
0.123585,0.000799188,2,1,0.000586286
0.124057,0.000800787,2,1,0.00056884
0.124528,0.000802388,2,1,0.000563548
0.125,0.000803993,2,1,0.000565389
0.125472,0.000805601,2,1,0.000545397
0.125943,0.000807212,2,1,0.00052214
0.126415,0.000808827,2,1,0.000486174
0.126887,0.000810444,2,1,0.000432525
0.127358,0.000812065,2,1,0.000396787
0.12783,0.000813689,2,1,0.000360196
0.128302,0.000815317,2,1,0.000343995
0.128774,0.000816947,2,1,0.000320785
0.129245,0.000818581,2,1,0.000315646
0.129717,0.000820218,2,1,0.000329035
0.130189,0.000821859,2,1,0.000324754
0.13066,0.000823503,2,1,0.000326703
0.131132,0.00082515,2,1,0.000330655
0.131604,0.0008268,2,1,0.000336683
0.132075,0.000828453,2,1,0.000332452
0.132547,0.00083011,2,1,0.000342035
0.133019,0.000831771,2,1,0.000337842
0.133491,0.000833434,2,1,0.000329229
0.133962,0.000835101,2,1,0.000318177
0.134434,0.000836771,2,1,0.000308956
0.134906,0.000838445,2,1,0.000295665
0.135377,0.000840122,2,1,0.00028177
0.135849,0.000841802,2,1,0.000265774
0.136321,0.000843486,2,1,0.000252275
0.136792,0.000845172,2,1,0.000244657
0.137264,0.000846863,2,1,0.000241457
0.137736,0.000848557,2,1,0.000239492
0.138208,0.000850254,2,1,0.00023825
0.138679,0.000851954,2,1,0.000235101
0.139151,0.000853658,2,1,0.000235518
0.139623,0.000855365,2,1,0.00023276
0.140094,0.000857076,2,1,0.000229276
0.140566,0.00085879,2,1,0.000232269
0.141038,0.000860508,2,1,0.000230579
0.141509,0.000862229,2,1,0.000229257
0.141981,0.000863953,2,1,0.000231194
0.142453,0.000865681,2,1,0.000231398
0.142925,0.000867413,2,1,0.000231576
0.143396,0.000869147,2,1,0.000232624
0.143868,0.000870886,2,1,0.000228001
0.14434,0.000872627,2,1,0.00022676
0.144811,0.000874373,2,1,0.000224567
0.145283,0.000876121,2,1,0.000221213
0.145755,0.000877874,2,1,0.00022296
0.146226,0.000879629,2,1,0.000220631
0.146698,0.000881389,2,1,0.000222293
0.14717,0.000883152,2,1,0.000221051
0.147642,0.000884918,2,1,0.000220454
0.148113,0.000886688,2,1,0.000221736
0.148585,0.000888461,2,1,0.000225411
0.149057,0.000890238,2,1,0.000223464
0.149528,0.000892018,2,1,0.000220387
0.15,0.000893802,2,1,0.000223047
0.150472,0.00089559,2,1,0.00022377
